+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; ntuS|addix8_inst|LPM_ADD_SUB_component|auto_generated                                                                     ; 129   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|addix8_inst                                                                                                          ; 129   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mulfix8_inst|lpm_mult_component|auto_generated                                                                       ; 49    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mulfix8_inst                                                                                                         ; 49    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist16_fracRPreExc_uid59_fpMulTest_b_3                                                         ; 55    ; 1              ; 0            ; 1              ; 52     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|excRZero_uid69_fpMulTest_delay                                                                   ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|excRInf_uid74_fpMulTest_delay                                                                    ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist15_expRPreExc_uid61_fpMulTest_b_3                                                          ; 14    ; 1              ; 0            ; 1              ; 11     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist4_expFracRPostRounding_uid58_fpMulTest_p1_of_2_q_1                                         ; 42    ; 2              ; 0            ; 2              ; 39     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist5_expFracRPostRounding_uid58_fpMulTest_BitSelect_for_a_c_1                                 ; 32    ; 1              ; 0            ; 1              ; 29     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist18_expSum_uid44_fpMulTest_q_7                                                              ; 15    ; 1              ; 0            ; 1              ; 12     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist1_expFracRPostRounding_uid58_fpMulTest_BitSelect_for_b_tessel1_1_b_2                       ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist2_lev1_a0sumAHighB_uid125_prod_uid47_fpMulTest_p1_of_2_q_1                                 ; 42    ; 10             ; 0            ; 10             ; 39     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist3_lev1_a0sumAHighB_uid125_prod_uid47_fpMulTest_BitSelect_for_a_c_1                         ; 29    ; 2              ; 0            ; 2              ; 26     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist9_sm0_uid121_prod_uid47_fpMulTest_q_1                                                      ; 13    ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist11_aboveLeftX_uid116_prod_uid47_fpMulTest_b_1                                              ; 8     ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist10_aboveLeftY_uid117_prod_uid47_fpMulTest_b_1                                              ; 8     ; 1              ; 0            ; 1              ; 5      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist0_sm0_uid118_prod_uid47_fpMulTest_cma_q_1                                                  ; 57    ; 1              ; 0            ; 1              ; 54     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|sm0_uid118_prod_uid47_fpMulTest_cma_delay                                                        ; 57    ; 1              ; 2            ; 1              ; 54     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist14_topRangeX_uid104_prod_uid47_fpMulTest_b_1                                               ; 30    ; 2              ; 0            ; 2              ; 27     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist8_highBBits_uid124_prod_uid47_fpMulTest_b_1                                                ; 41    ; 1              ; 0            ; 1              ; 38     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|multSumOfTwoTS_uid119_prod_uid47_fpMulTest_cma_delay                                             ; 58    ; 18             ; 2            ; 18             ; 55     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist13_topRangeY_uid105_prod_uid47_fpMulTest_b_1                                               ; 30    ; 2              ; 0            ; 2              ; 27     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist12_rightBottomX_bottomRange_uid112_prod_uid47_fpMulTest_b_1                                ; 29    ; 1              ; 0            ; 1              ; 26     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|signRPostExc_uid91_fpMulTest_delay                                                               ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|redist17_signR_uid48_fpMulTest_q_11                                                              ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|signR_uid48_fpMulTest_delay                                                                      ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ntuS|mf64i|mulfpf64_inst|excN_x_uid20_fpMulTest_delay                                                                     ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
